,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
조코드명,상품코드,상품등록일,상품명▲,매입처,"파트너포탈
입력정보",매입단가,판매단가,발주,,,,,,영업점,,,,,"발주
확정일자","발주
확정자","운영재고
관리대상",이미지여부,상품분류,발주비고,
,,,,,,,,수량,단위,단위수량,총수량,총금액,최근정보,기간판매량,운영재고,직전한달판매량,총현재고,수신예정수량,,,,,,,
디지털,8800923118385,2022-03-11,[로지텍] K380 그레이/어프어프 파우치 SET,디피이,정상(EA/1),"27,920 ","34,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,8800923118415,2022-03-11,[로지텍] K380 블루/어프어프 파우치 SET,디피이,정상(EA/1),"27,920 ","34,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,0097855119322,2023-03-28,[로지텍] K380 위글위글 컬레버레이션 패키지,디피이,정상(EA/1),"31,920 ","39,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,8800923118309,2022-03-11,[로지텍] K380 핑크/어프어프 파우치 SET,디피이,정상(EA/1),"27,920 ","34,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,8800923118392,2022-03-11,[로지텍] K380 화이트/어프어프 파우치 SET,디피이,정상(EA/1),"27,920 ","34,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,0097855152268,2020-03-17,[로지텍] K580 GRAPHITE,디피이,정상(EA/1),"55,920 ","69,900 ",0 ,EA(1),1 ,0 ,0 ,20250412 / 4 [발주확정],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,0097855152275,2020-03-17,[로지텍] K580 OFFWHITE,디피이,정상(EA/1),"47,515 ","55,900 ",0 ,EA(1),1 ,0 ,0 ,20250412 / 4 [발주확정],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,8800923178884,2024-12-16,[로지텍] K855 짱구 에디션/그라파이트,디피이,정상(EA/1),"127,200 ","159,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,8800923178853,2024-12-16,[로지텍] K855 짱구 에디션/블루,디피이,정상(EA/1),"127,200 ","159,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,8800923178860,2024-12-16,[로지텍] K855 짱구 에디션/핑크,디피이,정상(EA/1),"127,200 ","159,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,8800923178877,2024-12-16,[로지텍] K855 짱구 에디션/화이트,디피이,정상(EA/1),"127,200 ","159,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,0097855165718,2021-08-18,[로지텍] K860 인체공학 키보드,디피이,정상(EA/1),"159,200 ","199,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,8800923115339,2020-05-22,[로지텍] KEYBOARD/K120,디피이,정상(EA/1),"11,920 ","14,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,키보드/디지타이저, ,
